Company,Page_Number,Keyword,Frequency,Context_Snippet
JDE Peet's,98,deforestation,27,"l statements Other information Supplementary information METRICS ACCOUNTING POLICIES 2025 2024 2020 Deforestation-free key commodities (including green coffee, pulp and paper, palm oil, cocoa and wood (pallets)). "
JDE Peet's,99,deforestation,4,ements Other information Supplementary information Sustainable forest management through Addressing deforestation and production protection and inclusion in the livelihoods through inclusive coffee Cavally landsca
JDE Peet's,100,regenerative agriculture,1, Sustainability statements Financial statements Other information Supplementary information SCALING REGENERATIVE AGRICULTURE Coffee supply chains are closely linked to natural In response to the evolving EU due-diligence reg
JDE Peet's,101,regenerative agriculture,5,"ise fertiliser use, and advance safeguarding natural resources, with deforestation and livelihoods. Regenerative agriculture is central to protecting regenerative approaches intended to strengthen banned pesticide use critic"
JDE Peet's,101,deforestation,3,"OODS improve soil health, optimise fertiliser use, and advance safeguarding natural resources, with deforestation and livelihoods. Regenerative agriculture is central to protecting regenerative approaches intended"
JDE Peet's,102,regenerative agriculture,1,e support the Global Coffee Platform to availability and enhanced biodiversity with reduced set the regenerative agriculture standard named pesticide risks. RegenCoffee. In partnership with TechnoServe and a leading food & b
JDE Peet's,104,regenerative agriculture,2,"ted access to agricultural inputs and extension create a lasting, large-scale positive impact, with regenerative agriculture playing a key part. services, ageing coffee trees, soil erosion, and pests and diseases. Regenerati"
JDE Peet's,106,circular economy,1,"bility statements Financial statements Other information Supplementary information RESOURCE USE AND CIRCULAR ECONOMY SETTING THE SCENE OUR TARGETS AND PROGRESS OUR IMPACTS, RISKS AND OPPORTUNITIES Target Towards 100%"
JDE Peet's,108,Scope 3,1,aging emphasise the critical role of packaging in preventing contribute to our target to reduce our Scope 3 usage to help secure future material availability. intensity per serving and apply hurdle rates for
JDE Peet's,108,deforestation,1," 36 Long-term sustainable source definition depends on sourcing risk. For example, virgin wood/pulp deforestation is a key risk; for coffee, see Responsible Sourcing Principles. For some materials, risk and sustai"
JDE Peet's,109,Scope 3,1,"ste Regulation (PPWR). At JDE Peet’s, we have namely incorporation of recycled content into our our Scope 3 GHG emissions, which are aligned with the As we work towards achieving our targets through the embr"
JDE Peet's,109,regenerative agriculture,1,"eparation, which is currently present the dimensionally optimised Tassimo format across the support regenerative agriculture. This approach helps in 85% of all municipalities, will gradually start involving entire range of p"
JDE Peet's,109,circular economy,1,"ct downstream in our value chain. We've begun strategy across our entire value chain. This involves circular economy. In 2025, we moved from preparation In addition, our new collaboration with Koffie Capsule modellin"
JDE Peet's,110,Scope 3,1," scale without and CADBURY®, two of its most popular drinks thereby supporting progress towards our Scope 3 compromising the consumer experience and product To reflect this complexity, we’ve refined the scop"
JDE Peet's,112,circular economy,1,"cling, composting, waste-to-energy, (Bucherpress) and its high efficiency enabled a and fostering a circular economy. However, local reduction of spent grounds waste from 550 truckloads infrastructure limitations in "
JDE Peet's,113,deforestation,1," source. Sustainably sourced Refer to Accounting Policies in E4 section for responsibly sourced and deforestation-free definitions and methodology. For green coffee this means, green coffee volumes that have compl"
JDE Peet's,116,circular economy,2,"019, which the activities described in the regulation. The statistical TAXONOMY The transition to a circular economy and climate change classification of economic activities established in mitigation. committed the E"
JDE Peet's,138,deforestation,1,"onnected—from preventing child labour to craft, and enjoy it. By empowering communities, addressing deforestation and water use in sourcing inspiring our teams, and upholding human rights, we regions. create share"
JDE Peet's,144,deforestation,1,"th non-mitigated priority • Assessing the quality of supplier submissions and enforcement of the EU Deforestation Regulation, human rights risks, such as Child Labour Monitoring prioritising engagement with higher"
JDE Peet's,147,deforestation,1,"in actors to prevent and required, and ongoing monitoring in alignment with OECD/CSDDD livelihoods, deforestation and water stress) based on independent mitigate elevated human rights and environmental risks. requ"
JDE Peet's,149,deforestation,1,"al. (2013), ESA World Cover 2020, and World observational data. Examples include water variability, deforestation rates, child labour prevalence, and unsafe working conditions bounded, discrete rank [1,3] where 1 "
JDE Peet's,152,regenerative agriculture,4,"ovides detailed risks and strengthen resilience in our supply chain. We coffee farmers – by driving regenerative agriculture, regenerative agriculture to boost farm productivity analytics to track the impact of our farmer pr"
JDE Peet's,166,Scope 3,3,s have been updated to most recent DEFRA / IEA factors (including all data from prior years) < 0.1% Scope 3.1 Purchased goods and services Green coffee: Green coffee: +4.9% • more representative source for l
JDE Peet's,166,deforestation,1,Raw materials: -0.5% • updated methodology for land use change accounting reflecting the reality of deforestation after the EUDR cut-off date of Packaging: +0.8% December 31st 2020. Spend-based: +1.0% Raw material
JDE Peet's,167,circular economy,1,"Officer and Chief Research and ISO 14001 On our website, here. Resource use and Development Officer circular economy Responsible Coffee Sourcing Climate Change Responsible Sourcing All JDE Peet’s green coffee supplie"
JDE Peet's,170,regenerative agriculture,5,r stakeholders E3-1 Policies related to water and marine resources Environmental - Nature - Scaling regenerative agriculture - Our strategy and outlook Sections: Strategy; Policy Sustainability statements appendix - Overview
JDE Peet's,170,deforestation,3,es Environmental - Nature - Our strategy Section: Transition plan Environmental - Nature - Stopping deforestation - Our approach and outlook Section: Our Forest Policy Environmental - Nature - Scaling regenerative
JDE Peet's,171,circular economy,22,"re, the phase-in option is used. ecosystem-related risks and opportunities ESRS E5 Resource use and circular economy E5.IRO-1 Description of the processes to identify and assess material General disclosures - Our dou"
JDE Peet's,177,regenerative agriculture,2,t is not material and therefore not included. E3 E3-1 9 Water and marine resources Nature - Scaling regenerative agriculture - Our strategy and outlook E3 E3-1 13 Dedicated policy n/a This datapoint is not material and there
JDE Peet's,177,circular economy,2,ion - Our approach and outlook - Our forest policy E5 E5-5 37 d Non-recycled waste Resource use and circular economy - Metrics - Manufacturing waste E5 E5-5 39 Hazardous waste and radioactive waste Resource use and c
JDE Peet's,177,deforestation,2,ies n/a This datapoint is not material and therefore not included. E4 E4-2 24 d Policies to address deforestation Nature - Stopping deforestation - Our approach and outlook - Our forest policy E5 E5-5 37 d Non-rec
JDE Peet's,191,circular economy,1,dments and interpretations effective on or after 1 January 2025 and ecosystems and Resource use and circular economy chapters. Further consideration of The Company has applied the following IFRS Accounting Standards 
