Company,Page_Number,Keyword,Frequency,Context_Snippet,Sentiment,Confidence,Greenwashing_Risk
JDE Peet's,77,Scope 3,1,. This mainly impacts the Consolidated Financial Statements and upstream and disclosures related to Scope 3 and green coffee No prior-period reporting errors affect the preparation downstream elements of the,NEGATIVE,0.9895732998847961,Low
JDE Peet's,77,deforestation,1,"s other topics, our green coffee sourcing and and assumptions in calculating certain sustainability deforestation practices. KEY FIGURES data. These estimates and associated assumptions are Refer to the Our value ",NEGATIVE,0.867697536945343,Low
JDE Peet's,78,circular economy,1,"e change 79 Nature: biodiversity and ecosystems, and water and marine resources 89 Resource use and circular economy 106 EU taxonomy 116",POSITIVE,0.9403184056282043,High
JDE Peet's,79,Scope 3,2,"Channels chain (e.g., cultivation of green coffee, suppliers, Consumers Target Reduce absolute FLAG Scope 3 GHG emissions (coffee) transportation). End-of-life by 30.3% (versus 2020) Cost increase of Carbon ",NEGATIVE,0.9874403476715088,Low
JDE Peet's,80,Scope 3,4,both 1.5°C and 4°C purpose and future value creation. Our approach is • Commit to reducing absolute Scope 3 (industrial TRANSITION PLAN scenarios to represent the full breadth of possible unified under our C,POSITIVE,0.985302209854126,High
JDE Peet's,80,deforestation,2,"borative engagement. Our Assess, year30 Address, Progress approach drives continuous • Commit to no deforestation across our primary improvement, empowering all smallholder farmers to deforestation-linked commodit",POSITIVE,0.9957588315010071,High
JDE Peet's,81,Scope 3,3,"spatial data to assess regional climate risk impacted. In a 4°C scenario – in other words, strong • Scope 3: Addressing the coffee value chain, which and associated transition plans, the following policies u",POSITIVE,0.9756847620010376,High
JDE Peet's,81,regenerative agriculture,1," activities are reviewed sustainability, recycling, and climate impact, aligning for farmers, using regenerative agriculture and includes sectors such as agriculture, industry and annually, with financial impacts updated to ",POSITIVE,0.9912614822387695,High
JDE Peet's,81,circular economy,1,"mpacted in many regions and competition for while building resilience throughout the value chain. a circular economy, and drive sustainability. model. Finally, we map these risks and opportunities land would likely i",POSITIVE,0.9979178309440613,High
JDE Peet's,81,deforestation,2,"ntly at risk. For detailed choices. Through solutions like Cafitesse, our low- impact of historical deforestation in key commodities, and can already be seen today. This resulted in the climate scenario analysis a",NEGATIVE,0.9775140285491943,Low
JDE Peet's,83,Scope 3,3,"d compared Number Total estimated annual CO₂e to 2024. of savings in metric tonnes initiatives CO₂e Scope 3 Being 10 845,000 Product innovation In 2025, for Scope 3, actions covered both FLAG and researched ",POSITIVE,0.7796547412872314,Low
JDE Peet's,83,regenerative agriculture,2,"rom suppliers committed suitable, starting in the U.K. and rolling out to other Implemented 3 4,000 Regenerative agriculture and deforestation to SBTi. Among our Tier 1 suppliers, 52 have set SBTi markets. Our coffee value c",POSITIVE,0.9827132225036621,High
JDE Peet's,83,deforestation,2,"ble, starting in the U.K. and rolling out to other Implemented 3 4,000 Regenerative agriculture and deforestation to SBTi. Among our Tier 1 suppliers, 52 have set SBTi markets. Our coffee value chain represents 54",POSITIVE,0.8051425814628601,Low
JDE Peet's,84,regenerative agriculture,1,"ederation to standardise sector-wide reporting shaping the future of coffee, including World Coffee regenerative agriculture in coffee. We remain focused on enhancing resilience and methodologies, enabling consistent measure",POSITIVE,0.9985173344612122,High
JDE Peet's,86,Scope 3,17,"acts. When not available, residual mix factors are used; if these are not available, location-based Scope 3: Indirect emissions, value chain (tCO₂e) 4,785,349 5,156,901 5,316,674 4,584,735 3,852,797 531,667 ",NEGATIVE,0.9952470660209656,Low
JDE Peet's,88,Scope 3,18,Other information Supplementary information ACCOUNTING POLICIES (CONTINUATION) Methods to calculate Scope 3 data Scope 3 Reporting Calculation Methodology Explanation Scope 3.1: Purchased goods and services ,NEGATIVE,0.961439847946167,Low
JDE Peet's,88,deforestation,1,"accounted for via FAO country-level commodity data, adjusted for recent primary data on Spend based deforestation-free coffee purchases. Laminate packaging relies on supplier-specific data. Emissions for raw mater",NEGATIVE,0.9959174990653992,Low
JDE Peet's,89,deforestation,10,"NE RESOURCES SETTING THE SCENE OUR TARGETS AND PROGRESS OUR IMPACTS, RISKS AND OPPORTUNITIES Target Deforestation-free green coffee by 2025 Progress TARGET 2025: 100% MATERIAL TOPIC: STOPPING DEFORESTATION Value c",POSITIVE,0.5099281072616577,Low
JDE Peet's,90,regenerative agriculture,1,ements Other information Supplementary information OUR TARGETS AND PROGRESS MATERIAL TOPIC: SCALING REGENERATIVE AGRICULTURE Value chain IRO Title Description Upstream Own operations Downstream Time horizon Target Working to,NEGATIVE,0.9956050515174866,Low
JDE Peet's,92,deforestation,1,ment The table on the right outlines the key environmental Terrestrial ecosystem use and use change Deforestation due to farmers encroaching on forested land to expand their farms. pressures and ecosystem-service ,POSITIVE,0.9198771119117737,High
JDE Peet's,94,deforestation,2,"ons, detailed in subsequent chapters. nature, we recognise challenges in maintaining the mitigating deforestation and advancing regenerative relevance of indicators for assessing business impact. Biodiversity offs",POSITIVE,0.9506999254226685,High
JDE Peet's,96,deforestation,17,"Sustainability statements Financial statements Other information Supplementary information STOPPING DEFORESTATION As coffee is our principal product, our holistic approach commodities that have high carbon footpri",NEGATIVE,0.905872642993927,Low
JDE Peet's,97,deforestation,12,"d costs were shared, rather to select best-in-class partners to deliver our products. commitment to deforestation-free sourcing through the 3. Cease, prevent or mitigate adverse impacts than borne by JDE Peet's al",NEGATIVE,0.9915512800216675,Low
JDE Peet's,98,deforestation,27,"l statements Other information Supplementary information METRICS ACCOUNTING POLICIES 2025 2024 2020 Deforestation-free key commodities (including green coffee, pulp and paper, palm oil, cocoa and wood (pallets)). ",NEGATIVE,0.8481822609901428,Low
JDE Peet's,99,deforestation,4,ements Other information Supplementary information Sustainable forest management through Addressing deforestation and production protection and inclusion in the livelihoods through inclusive coffee Cavally landsca,NEGATIVE,0.9602479338645935,Low
JDE Peet's,100,regenerative agriculture,1, Sustainability statements Financial statements Other information Supplementary information SCALING REGENERATIVE AGRICULTURE Coffee supply chains are closely linked to natural In response to the evolving EU due-diligence reg,POSITIVE,0.9954822063446045,High
JDE Peet's,101,regenerative agriculture,5,"ise fertiliser use, and advance safeguarding natural resources, with deforestation and livelihoods. Regenerative agriculture is central to protecting regenerative approaches intended to strengthen banned pesticide use critic",POSITIVE,0.9936522245407104,High
JDE Peet's,101,deforestation,3,"OODS improve soil health, optimise fertiliser use, and advance safeguarding natural resources, with deforestation and livelihoods. Regenerative agriculture is central to protecting regenerative approaches intended",POSITIVE,0.9977329969406128,High
JDE Peet's,102,regenerative agriculture,1,e support the Global Coffee Platform to availability and enhanced biodiversity with reduced set the regenerative agriculture standard named pesticide risks. RegenCoffee. In partnership with TechnoServe and a leading food & b,POSITIVE,0.9392604231834412,High
JDE Peet's,104,regenerative agriculture,2,"ted access to agricultural inputs and extension create a lasting, large-scale positive impact, with regenerative agriculture playing a key part. services, ageing coffee trees, soil erosion, and pests and diseases. Regenerati",POSITIVE,0.9995895028114319,High
JDE Peet's,106,circular economy,1,"bility statements Financial statements Other information Supplementary information RESOURCE USE AND CIRCULAR ECONOMY SETTING THE SCENE OUR TARGETS AND PROGRESS OUR IMPACTS, RISKS AND OPPORTUNITIES Target Towards 100%",NEGATIVE,0.6632000207901001,Low
JDE Peet's,108,Scope 3,1,aging emphasise the critical role of packaging in preventing contribute to our target to reduce our Scope 3 usage to help secure future material availability. intensity per serving and apply hurdle rates for,NEGATIVE,0.9911632537841797,Low
JDE Peet's,108,deforestation,1," 36 Long-term sustainable source definition depends on sourcing risk. For example, virgin wood/pulp deforestation is a key risk; for coffee, see Responsible Sourcing Principles. For some materials, risk and sustai",NEGATIVE,0.9818860292434692,Low
JDE Peet's,109,Scope 3,1,"ste Regulation (PPWR). At JDE Peet’s, we have namely incorporation of recycled content into our our Scope 3 GHG emissions, which are aligned with the As we work towards achieving our targets through the embr",POSITIVE,0.5141078233718872,Low
JDE Peet's,109,regenerative agriculture,1,"eparation, which is currently present the dimensionally optimised Tassimo format across the support regenerative agriculture. This approach helps in 85% of all municipalities, will gradually start involving entire range of p",POSITIVE,0.995744526386261,High
JDE Peet's,109,circular economy,1,"ct downstream in our value chain. We've begun strategy across our entire value chain. This involves circular economy. In 2025, we moved from preparation In addition, our new collaboration with Koffie Capsule modellin",POSITIVE,0.968649685382843,High
JDE Peet's,110,Scope 3,1," scale without and CADBURY®, two of its most popular drinks thereby supporting progress towards our Scope 3 compromising the consumer experience and product To reflect this complexity, we’ve refined the scop",POSITIVE,0.992523729801178,High
JDE Peet's,112,circular economy,1,"cling, composting, waste-to-energy, (Bucherpress) and its high efficiency enabled a and fostering a circular economy. However, local reduction of spent grounds waste from 550 truckloads infrastructure limitations in ",POSITIVE,0.8768589496612549,Low
JDE Peet's,113,deforestation,1," source. Sustainably sourced Refer to Accounting Policies in E4 section for responsibly sourced and deforestation-free definitions and methodology. For green coffee this means, green coffee volumes that have compl",NEGATIVE,0.956331729888916,Low
JDE Peet's,116,circular economy,2,"019, which the activities described in the regulation. The statistical TAXONOMY The transition to a circular economy and climate change classification of economic activities established in mitigation. committed the E",POSITIVE,0.9654338955879211,High
JDE Peet's,138,deforestation,1,"onnected—from preventing child labour to craft, and enjoy it. By empowering communities, addressing deforestation and water use in sourcing inspiring our teams, and upholding human rights, we regions. create share",POSITIVE,0.9988850951194763,High
JDE Peet's,144,deforestation,1,"th non-mitigated priority • Assessing the quality of supplier submissions and enforcement of the EU Deforestation Regulation, human rights risks, such as Child Labour Monitoring prioritising engagement with higher",NEGATIVE,0.8639290928840637,Low
JDE Peet's,147,deforestation,1,"in actors to prevent and required, and ongoing monitoring in alignment with OECD/CSDDD livelihoods, deforestation and water stress) based on independent mitigate elevated human rights and environmental risks. requ",POSITIVE,0.5220064520835876,Low
JDE Peet's,149,deforestation,1,"al. (2013), ESA World Cover 2020, and World observational data. Examples include water variability, deforestation rates, child labour prevalence, and unsafe working conditions bounded, discrete rank [1,3] where 1 ",NEGATIVE,0.6169412136077881,Low
JDE Peet's,152,regenerative agriculture,4,"ovides detailed risks and strengthen resilience in our supply chain. We coffee farmers – by driving regenerative agriculture, regenerative agriculture to boost farm productivity analytics to track the impact of our farmer pr",POSITIVE,0.9992719292640686,High
JDE Peet's,166,Scope 3,3,s have been updated to most recent DEFRA / IEA factors (including all data from prior years) < 0.1% Scope 3.1 Purchased goods and services Green coffee: Green coffee: +4.9% • more representative source for l,NEGATIVE,0.9635811448097229,Low
JDE Peet's,166,deforestation,1,Raw materials: -0.5% • updated methodology for land use change accounting reflecting the reality of deforestation after the EUDR cut-off date of Packaging: +0.8% December 31st 2020. Spend-based: +1.0% Raw material,NEGATIVE,0.9602562785148621,Low
JDE Peet's,167,circular economy,1,"Officer and Chief Research and ISO 14001 On our website, here. Resource use and Development Officer circular economy Responsible Coffee Sourcing Climate Change Responsible Sourcing All JDE Peet’s green coffee supplie",NEGATIVE,0.9804681539535522,Low
JDE Peet's,170,regenerative agriculture,5,r stakeholders E3-1 Policies related to water and marine resources Environmental - Nature - Scaling regenerative agriculture - Our strategy and outlook Sections: Strategy; Policy Sustainability statements appendix - Overview,POSITIVE,0.9376540184020996,High
JDE Peet's,170,deforestation,3,es Environmental - Nature - Our strategy Section: Transition plan Environmental - Nature - Stopping deforestation - Our approach and outlook Section: Our Forest Policy Environmental - Nature - Scaling regenerative,POSITIVE,0.8873881697654724,Low
JDE Peet's,171,circular economy,22,"re, the phase-in option is used. ecosystem-related risks and opportunities ESRS E5 Resource use and circular economy E5.IRO-1 Description of the processes to identify and assess material General disclosures - Our dou",NEGATIVE,0.9841099381446838,Low
JDE Peet's,177,regenerative agriculture,2,t is not material and therefore not included. E3 E3-1 9 Water and marine resources Nature - Scaling regenerative agriculture - Our strategy and outlook E3 E3-1 13 Dedicated policy n/a This datapoint is not material and there,NEGATIVE,0.9995880722999573,Low
JDE Peet's,177,circular economy,2,ion - Our approach and outlook - Our forest policy E5 E5-5 37 d Non-recycled waste Resource use and circular economy - Metrics - Manufacturing waste E5 E5-5 39 Hazardous waste and radioactive waste Resource use and c,NEGATIVE,0.9671236276626587,Low
JDE Peet's,177,deforestation,2,ies n/a This datapoint is not material and therefore not included. E4 E4-2 24 d Policies to address deforestation Nature - Stopping deforestation - Our approach and outlook - Our forest policy E5 E5-5 37 d Non-rec,NEGATIVE,0.9994375109672546,Low
JDE Peet's,191,circular economy,1,dments and interpretations effective on or after 1 January 2025 and ecosystems and Resource use and circular economy chapters. Further consideration of The Company has applied the following IFRS Accounting Standards ,POSITIVE,0.8985414505004883,Low
